c,c,c,c,c,c,c,c,c,c,class
0.54,-0.65,0.99,-0.82,0.54,-0.48,0.37,-0.82,-0.31,-0.82,loss
-0.31,-0.65,0.54,-0.99,0.03,-0.99,0.03,-0.48,0.71,-0.48,loss
0.88,-0.48,-0.31,-0.99,-0.31,-0.65,0.54,-0.82,0.2,-0.65,loss
-0.14,-0.65,0.2,-0.82,0.88,-0.48,0.88,-0.82,0.03,-0.82,loss
-0.14,-0.99,0.88,-0.99,0.03,-0.99,0.88,-0.48,0.54,-0.82,win
-0.31,-0.82,-0.14,-0.82,0.37,-0.82,0.88,-0.82,0.88,-0.99,loss
0.37,-0.99,0.99,-0.48,0.88,-0.82,0.03,-0.65,0.54,-0.48,win
0.99,-0.82,-0.14,-0.82,-0.31,-0.48,0.71,-0.48,0.03,-0.99,loss
0.2,-0.82,0.99,-0.82,0.54,-0.48,0.71,-0.99,-0.14,-0.48,loss
0.37,-0.99,0.71,-0.99,0.2,-0.82,0.88,-0.82,0.54,-0.48,win
0.37,-0.82,0.88,-0.65,0.88,-0.99,0.88,-0.48,0.54,-0.99,win
0.03,-0.82,0.71,-0.48,0.03,-0.48,0.37,-0.82,0.99,-0.99,win
0.99,-0.48,0.71,-0.65,-0.31,-0.48,0.37,-0.48,-0.14,-0.82,loss
-0.14,-0.82,0.2,-0.48,0.71,-0.82,0.37,-0.99,-0.31,-0.48,loss
0.99,-0.82,-0.31,-0.99,-0.31,-0.82,0.71,-0.65,0.71,-0.82,loss
0.71,-0.65,-0.31,-0.82,0.37,-0.82,-0.31,-0.99,0.88,-0.48,win
-0.14,-0.48,0.71,-0.65,0.54,-0.99,0.71,-0.99,-0.14,-0.82,win
0.2,-0.48,0.54,-0.99,0.54,-0.82,0.2,-0.82,-0.14,-0.99,win
0.54,-0.48,0.88,-0.65,-0.31,-0.82,0.03,-0.48,0.03,-0.99,loss
0.71,-0.48,0.03,-0.82,0.2,-0.82,0.2,-0.65,-0.31,-0.82,loss
0.2,-0.82,0.99,-0.65,-0.31,-0.99,0.2,-0.65,0.37,-0.82,loss
0.37,-0.48,0.2,-0.65,0.54,-0.82,0.54,-0.99,0.2,-0.48,win
-0.31,-0.48,-0.14,-0.82,0.99,-0.48,0.03,-0.48,0.71,-0.99,loss
0.71,-0.82,0.2,-0.65,0.37,-0.48,0.54,-0.48,0.03,-0.65,win
0.2,-0.99,0.37,-0.82,-0.31,-0.65,0.37,-0.65,0.99,-0.48,win
-0.14,-0.82,0.88,-0.65,0.2,-0.99,0.99,-0.99,0.99,-0.48,loss
0.2,-0.48,-0.14,-0.48,0.37,-0.65,0.99,-0.82,0.37,-0.48,win
0.03,-0.65,0.71,-0.82,0.03,-0.48,-0.14,-0.48,0.99,-0.82,win
0.99,-0.65,0.54,-0.82,0.54,-0.99,-0.31,-0.99,0.99,-0.48,win
0.99,-0.48,0.2,-0.99,0.99,-0.65,0.03,-0.48,0.88,-0.65,win
0.71,-0.99,0.37,-0.48,-0.14,-0.82,0.99,-0.48,0.88,-0.82,loss
-0.14,-0.82,0.99,-0.65,-0.31,-0.48,0.88,-0.48,0.37,-0.82,loss
0.99,-0.99,-0.14,-0.48,0.03,-0.99,0.71,-0.65,-0.31,-0.65,loss
0.54,-0.99,0.99,-0.82,0.03,-0.65,0.71,-0.99,0.2,-0.99,loss
0.88,-0.65,0.54,-0.48,0.2,-0.48,0.71,-0.48,-0.14,-0.99,win
-0.31,-0.65,0.99,-0.99,-0.31,-0.99,0.71,-0.99,0.71,-0.48,loss
0.99,-0.65,-0.14,-0.99,0.03,-0.99,0.99,-0.82,0.88,-0.99,win
0.2,-0.99,0.37,-0.65,0.88,-0.82,-0.14,-0.82,0.54,-0.82,loss
0.54,-0.99,0.71,-0.65,0.54,-0.65,-0.31,-0.65,0.71,-0.99,win
0.88,-0.82,-0.31,-0.99,0.54,-0.99,0.88,-0.99,-0.31,-0.48,win
0.99,-0.48,0.88,-0.99,0.54,-0.99,0.71,-0.82,0.71,-0.99,loss
0.03,-0.48,0.71,-0.99,0.99,-0.48,0.2,-0.48,0.03,-0.82,win
0.03,-0.48,0.03,-0.65,0.37,-0.48,0.2,-0.82,0.71,-0.65,loss
0.2,-0.65,-0.14,-0.65,0.99,-0.99,0.37,-0.82,0.54,-0.48,loss
-0.31,-0.65,0.54,-0.82,0.2,-0.65,0.2,-0.48,0.88,-0.65,loss
-0.31,-0.99,0.37,-0.82,-0.31,-0.48,-0.14,-0.99,-0.14,-0.65,win
0.03,-0.82,0.71,-0.99,0.54,-0.65,0.99,-0.65,0.54,-0.48,loss
0.54,-0.48,0.37,-0.99,0.54,-0.99,-0.14,-0.82,-0.31,-0.65,loss
0.2,-0.65,0.71,-0.99,0.99,-0.65,-0.14,-0.82,0.88,-0.99,loss
0.88,-0.99,0.71,-0.82,0.71,-0.65,0.03,-0.48,0.71,-0.99,win
0.03,-0.82,-0.31,-0.82,0.71,-0.99,0.88,-0.99,-0.31,-0.65,loss
0.54,-0.65,-0.14,-0.48,0.71,-0.82,0.03,-0.48,0.03,-0.65,loss
-0.31,-0.99,0.2,-0.65,0.03,-0.82,-0.31,-0.82,-0.31,-0.48,win
0.54,-0.99,0.37,-0.65,-0.31,-0.99,0.37,-0.82,0.71,-0.82,win
0.2,-0.82,0.54,-0.65,0.2,-0.65,-0.14,-0.82,-0.31,-0.48,win
0.54,-0.99,0.37,-0.82,0.99,-0.99,0.2,-0.99,0.2,-0.48,loss
0.88,-0.82,-0.31,-0.82,0.99,-0.82,0.03,-0.48,0.71,-0.48,loss
-0.14,-0.82,-0.31,-0.65,0.2,-0.48,0.2,-0.82,0.71,-0.99,loss
0.2,-0.65,0.99,-0.48,0.37,-0.82,0.99,-0.82,0.54,-0.48,loss
0.2,-0.99,0.54,-0.48,0.88,-0.48,0.99,-0.48,-0.31,-0.65,win
-0.14,-0.99,0.88,-0.82,0.37,-0.48,0.54,-0.99,0.88,-0.48,win
0.2,-0.48,0.71,-0.48,0.2,-0.82,0.03,-0.99,0.2,-0.65,win
-0.14,-0.48,-0.14,-0.65,0.03,-0.65,0.37,-0.48,-0.31,-0.82,loss
0.03,-0.82,0.88,-0.65,0.03,-0.48,0.37,-0.82,0.54,-0.82,loss
-0.14,-0.82,-0.31,-0.82,-0.14,-0.65,0.03,-0.82,0.54,-0.82,win
-0.14,-0.48,0.37,-0.99,0.03,-0.65,0.71,-0.99,0.88,-0.65,loss
-0.14,-0.82,0.88,-0.65,0.2,-0.48,-0.14,-0.99,0.99,-0.82,win
-0.31,-0.65,0.71,-0.82,0.99,-0.65,0.37,-0.82,0.88,-0.65,loss
-0.31,-0.99,0.54,-0.82,0.2,-0.99,0.88,-0.99,0.37,-0.82,loss
0.54,-0.82,0.37,-0.82,-0.14,-0.48,0.99,-0.82,0.71,-0.65,win
-0.14,-0.82,0.2,-0.65,0.54,-0.48,-0.31,-0.48,0.88,-0.82,win
0.71,-0.99,-0.14,-0.65,-0.31,-0.82,0.99,-0.48,0.2,-0.65,win
0.54,-0.65,0.2,-0.65,-0.14,-0.99,0.54,-0.48,0.37,-0.65,win
0.2,-0.82,0.2,-0.99,0.54,-0.99,0.2,-0.65,0.71,-0.99,win
0.71,-0.82,-0.14,-0.65,0.99,-0.65,-0.31,-0.48,0.99,-0.99,win
0.54,-0.82,0.03,-0.99,0.03,-0.48,0.2,-0.48,0.37,-0.99,loss
0.88,-0.99,-0.14,-0.48,0.37,-0.48,0.54,-0.82,0.03,-0.65,win
-0.31,-0.48,0.2,-0.65,0.03,-0.82,0.54,-0.99,0.37,-0.65,loss
0.54,-0.48,0.2,-0.48,-0.14,-0.82,0.54,-0.65,0.2,-0.65,win
0.2,-0.65,0.71,-0.99,0.71,-0.82,0.54,-0.99,0.99,-0.82,win
-0.31,-0.65,0.88,-0.99,0.88,-0.48,0.03,-0.99,0.54,-0.99,win
-0.14,-0.65,0.37,-0.82,0.71,-0.48,-0.31,-0.65,0.03,-0.48,win
0.99,-0.82,0.2,-0.65,-0.14,-0.48,0.03,-0.65,-0.14,-0.82,loss
0.71,-0.82,0.37,-0.99,0.03,-0.65,0.54,-0.48,0.54,-0.65,win
-0.31,-0.99,0.71,-0.99,0.2,-0.48,0.37,-0.65,0.2,-0.65,loss
0.2,-0.99,0.03,-0.48,-0.14,-0.82,0.88,-0.48,0.2,-0.65,win
0.2,-0.82,0.71,-0.82,0.2,-0.99,-0.14,-0.48,0.54,-0.82,win
0.54,-0.82,0.54,-0.48,0.2,-0.99,-0.14,-0.65,0.88,-0.65,win
0.54,-0.99,0.03,-0.82,-0.31,-0.48,-0.31,-0.65,0.71,-0.48,loss
0.88,-0.65,0.2,-0.99,0.54,-0.82,-0.31,-0.65,0.71,-0.82,loss
0.99,-0.48,0.54,-0.99,-0.14,-0.99,0.88,-0.48,0.71,-0.99,win
0.37,-0.48,0.03,-0.99,0.54,-0.99,0.37,-0.99,0.88,-0.48,loss
0.2,-0.99,0.37,-0.65,0.71,-0.82,0.88,-0.48,-0.14,-0.48,loss
0.71,-0.48,0.88,-0.65,-0.14,-0.65,0.71,-0.99,0.88,-0.99,win
0.37,-0.99,0.99,-0.99,-0.14,-0.48,0.99,-0.65,0.71,-0.48,loss
-0.31,-0.65,0.88,-0.99,0.54,-0.99,0.88,-0.48,0.99,-0.99,win
0.37,-0.99,-0.14,-0.82,0.54,-0.48,0.2,-0.65,0.99,-0.48,loss
0.71,-0.65,-0.14,-0.48,0.54,-0.48,0.99,-0.65,-0.31,-0.48,loss
0.54,-0.99,0.37,-0.82,-0.31,-0.82,-0.31,-0.48,0.2,-0.82,loss
0.71,-0.65,0.71,-0.82,-0.31,-0.48,0.99,-0.99,0.37,-0.82,win
0.37,-0.82,0.2,-0.99,0.54,-0.65,0.99,-0.65,0.88,-0.99,loss
0.03,-0.82,0.2,-0.65,0.03,-0.99,-0.31,-0.99,0.37,-0.82,loss
0.99,-0.82,0.71,-0.82,0.03,-0.48,-0.14,-0.48,-0.31,-0.65,loss
0.99,-0.48,0.03,-0.99,0.71,-0.82,-0.31,-0.48,0.99,-0.65,win
0.71,-0.82,-0.14,-0.48,0.37,-0.99,0.71,-0.48,0.37,-0.48,win
0.71,-0.65,0.99,-0.99,0.37,-0.65,0.2,-0.48,0.71,-0.99,win
0.03,-0.99,-0.14,-0.48,0.2,-0.99,0.88,-0.65,0.54,-0.99,loss
-0.14,-0.99,0.71,-0.65,0.2,-0.99,-0.14,-0.82,0.88,-0.82,win
0.54,-0.99,0.37,-0.82,-0.14,-0.48,0.99,-0.65,0.54,-0.48,win
0.99,-0.48,0.71,-0.48,0.99,-0.65,-0.14,-0.65,0.54,-0.99,win
0.37,-0.99,0.03,-0.82,0.2,-0.48,0.2,-0.82,-0.14,-0.65,loss
0.99,-0.48,0.03,-0.48,0.99,-0.65,0.54,-0.48,-0.31,-0.48,win
-0.31,-0.65,0.03,-0.65,0.88,-0.65,0.03,-0.99,0.03,-0.82,win
-0.14,-0.82,0.2,-0.48,0.37,-0.48,0.99,-0.65,-0.31,-0.65,loss
0.99,-0.48,-0.31,-0.65,0.03,-0.99,-0.31,-0.82,0.54,-0.65,win
0.71,-0.82,0.54,-0.82,0.71,-0.99,0.88,-0.99,-0.31,-0.82,loss
-0.14,-0.99,0.99,-0.65,0.88,-0.99,-0.14,-0.65,-0.14,-0.82,win
0.54,-0.82,0.37,-0.82,-0.14,-0.65,-0.31,-0.65,0.2,-0.82,win
0.88,-0.99,0.54,-0.65,0.88,-0.48,0.2,-0.99,0.54,-0.99,win
-0.31,-0.82,-0.31,-0.48,0.2,-0.99,0.99,-0.48,0.54,-0.65,win
0.99,-0.82,-0.31,-0.65,-0.14,-0.99,0.88,-0.99,0.37,-0.65,loss
0.71,-0.65,0.03,-0.82,0.37,-0.48,0.03,-0.99,-0.14,-0.99,win
0.37,-0.48,0.2,-0.82,0.54,-0.48,0.88,-0.48,0.99,-0.48,win
0.88,-0.48,0.71,-0.99,0.99,-0.99,0.2,-0.48,-0.14,-0.48,win
-0.31,-0.82,0.03,-0.48,0.37,-0.65,0.2,-0.48,0.54,-0.99,loss
-0.14,-0.48,0.71,-0.99,0.03,-0.65,0.99,-0.82,0.2,-0.48,loss
0.54,-0.82,0.37,-0.65,0.88,-0.48,0.99,-0.82,0.2,-0.65,loss
-0.31,-0.65,0.71,-0.82,-0.14,-0.99,0.99,-0.48,0.03,-0.65,win
0.54,-0.99,0.71,-0.99,0.03,-0.99,0.71,-0.82,0.99,-0.99,win
0.03,-0.48,0.54,-0.99,0.71,-0.65,0.2,-0.48,-0.14,-0.99,loss
0.99,-0.82,0.37,-0.99,0.71,-0.82,0.71,-0.65,-0.14,-0.99,loss
0.2,-0.48,0.37,-0.48,0.03,-0.99,0.71,-0.99,0.88,-0.65,loss
0.71,-0.99,0.37,-0.99,0.54,-0.99,-0.14,-0.65,0.88,-0.82,win
0.71,-0.65,0.88,-0.99,0.71,-0.48,0.88,-0.48,0.54,-0.65,win
0.71,-0.65,-0.14,-0.82,0.37,-0.82,0.88,-0.48,0.99,-0.82,loss
0.71,-0.99,0.54,-0.82,-0.14,-0.82,0.2,-0.65,-0.14,-0.65,loss
-0.14,-0.99,0.37,-0.82,0.2,-0.82,0.2,-0.65,0.37,-0.48,win
0.99,-0.99,0.37,-0.99,0.2,-0.82,-0.14,-0.65,-0.14,-0.48,loss
-0.31,-0.99,0.54,-0.99,0.03,-0.65,0.2,-0.99,0.88,-0.82,loss
-0.31,-0.82,0.71,-0.82,0.88,-0.48,-0.31,-0.65,0.2,-0.65,win
0.2,-0.99,0.99,-0.48,0.2,-0.65,-0.14,-0.99,0.37,-0.48,loss
0.2,-0.82,0.99,-0.99,0.54,-0.65,0.37,-0.99,0.03,-0.65,loss
0.88,-0.48,0.71,-0.48,0.37,-0.82,0.37,-0.48,0.2,-0.65,loss
0.2,-0.48,-0.14,-0.99,-0.31,-0.48,0.71,-0.99,0.99,-0.48,loss
-0.14,-0.99,-0.31,-0.48,0.99,-0.48,0.37,-0.82,0.03,-0.65,loss
0.54,-0.48,-0.14,-0.48,0.99,-0.65,-0.31,-0.82,0.88,-0.48,loss
0.2,-0.99,-0.14,-0.65,0.71,-0.65,0.99,-0.65,0.99,-0.99,win
-0.14,-0.99,-0.31,-0.65,0.54,-0.99,-0.31,-0.82,0.71,-0.82,loss
-0.14,-0.48,0.03,-0.99,0.88,-0.48,-0.31,-0.65,0.54,-0.65,loss
0.54,-0.99,0.88,-0.48,0.37,-0.65,0.37,-0.48,0.99,-0.65,win
-0.31,-0.48,0.99,-0.48,0.37,-0.82,0.2,-0.99,0.37,-0.65,loss
0.37,-0.82,0.88,-0.99,0.71,-0.99,0.71,-0.65,-0.14,-0.82,loss
0.54,-0.48,0.71,-0.65,0.54,-0.99,-0.14,-0.48,-0.14,-0.99,loss
0.37,-0.82,0.2,-0.82,0.2,-0.65,0.54,-0.65,-0.31,-0.65,loss
-0.14,-0.82,-0.31,-0.82,-0.14,-0.65,0.88,-0.48,0.03,-0.48,win
-0.31,-0.99,0.37,-0.65,0.2,-0.99,0.2,-0.65,0.03,-0.48,loss
0.2,-0.65,0.03,-0.48,0.54,-0.65,-0.14,-0.99,0.54,-0.48,win
-0.31,-0.82,0.2,-0.65,-0.14,-0.82,0.03,-0.65,0.71,-0.48,loss
